millis,stamp,datetime,temp
126999,1497825328, 2019/6/18 22:35:28,18.7
127998,1497825329, 2019/6/18 22:35:29,18.7
129000,1497825330, 2019/6/18 22:35:30,18.7
129999,1497825331, 2019/6/18 22:35:31,18.7
131000,1497825332, 2019/6/18 22:35:32,18.6
132000,1497825333, 2019/6/18 22:35:33,18.6
132999,1497825334, 2019/6/18 22:35:34,18.6
133999,1497825335, 2019/6/18 22:35:35,18.6
134999,1497825336, 2019/6/18 22:35:36,18.6
135999,1497825337, 2019/6/18 22:35:37,18.6
136998,1497825338, 2019/6/18 22:35:38,18.6
138000,1497825339, 2019/6/18 22:35:39,18.6
138999,1497825340, 2019/6/18 22:35:40,18.6
139999,1497825341, 2019/6/18 22:35:41,18.6
140999,1497825342, 2019/6/18 22:35:42,18.6
142000,1497825343, 2019/6/18 22:35:43,18.6
142999,1497825344, 2019/6/18 22:35:44,18.6
143998,1497825345, 2019/6/18 22:35:45,18.6
144999,1497825346, 2019/6/18 22:35:46,18.6
145999,1497825347, 2019/6/18 22:35:47,18.6
147000,1497825348, 2019/6/18 22:35:48,18.6
148000,1497825349, 2019/6/18 22:35:49,18.6
148999,1497825350, 2019/6/18 22:35:50,18.6
149999,1497825351, 2019/6/18 22:35:51,18.6
150999,1497825352, 2019/6/18 22:35:52,18.6
152000,1497825353, 2019/6/18 22:35:53,18.6
152998,1497825354, 2019/6/18 22:35:54,18.6
153999,1497825355, 2019/6/18 22:35:55,18.6
154999,1497825356, 2019/6/18 22:35:56,18.6
156000,1497825357, 2019/6/18 22:35:57,18.6
156998,1497825358, 2019/6/18 22:35:58,18.6
158000,1497825359, 2019/6/18 22:35:59,18.6
158999,1497825360, 2019/6/18 22:36:0,18.6
159998,1497825361, 2019/6/18 22:36:1,18.6
160999,1497825362, 2019/6/18 22:36:2,18.6
161999,1497825363, 2019/6/18 22:36:3,18.5
162999,1497825364, 2019/6/18 22:36:4,18.5
163998,1497825365, 2019/6/18 22:36:5,18.5
165000,1497825366, 2019/6/18 22:36:6,18.5
165999,1497825367, 2019/6/18 22:36:7,18.5
166999,1497825368, 2019/6/18 22:36:8,18.5
167999,1497825369, 2019/6/18 22:36:9,18.5
168999,1497825370, 2019/6/18 22:36:10,18.5
169999,1497825371, 2019/6/18 22:36:11,18.5
170999,1497825372, 2019/6/18 22:36:12,18.5
171999,1497825373, 2019/6/18 22:36:13,18.5
172998,1497825374, 2019/6/18 22:36:14,18.5
174000,1497825375, 2019/6/18 22:36:15,18.5
174999,1497825376, 2019/6/18 22:36:16,18.5
175998,1497825377, 2019/6/18 22:36:17,18.5
176999,1497825378, 2019/6/18 22:36:18,18.5
177999,1497825379, 2019/6/18 22:36:19,18.5
179000,1497825380, 2019/6/18 22:36:20,18.5
179998,1497825381, 2019/6/18 22:36:21,18.5
181000,1497825382, 2019/6/18 22:36:22,18.5
181999,1497825383, 2019/6/18 22:36:23,18.5
183000,1497825384, 2019/6/18 22:36:24,18.5
183999,1497825385, 2019/6/18 22:36:25,18.5
184999,1497825386, 2019/6/18 22:36:26,18.5
185999,1497825387, 2019/6/18 22:36:27,18.5
186998,1497825388, 2019/6/18 22:36:28,18.5
188000,1497825389, 2019/6/18 22:36:29,18.5
188999,1497825390, 2019/6/18 22:36:30,18.5
190000,1497825391, 2019/6/18 22:36:31,18.5
190998,1497825392, 2019/6/18 22:36:32,18.5
192001,1497825393, 2019/6/18 22:36:33,18.5
192999,1497825394, 2019/6/18 22:36:34,18.5
193999,1497825395, 2019/6/18 22:36:35,18.5
194999,1497825396, 2019/6/18 22:36:36,18.5
195999,1497825397, 2019/6/18 22:36:37,18.5
196999,1497825398, 2019/6/18 22:36:38,18.5
197999,1497825399, 2019/6/18 22:36:39,18.4
198999,1497825400, 2019/6/18 22:36:40,18.4
199998,1497825401, 2019/6/18 22:36:41,18.4
200999,1497825402, 2019/6/18 22:36:42,18.4
202000,1497825403, 2019/6/18 22:36:43,18.4
202999,1497825404, 2019/6/18 22:36:44,18.4
203999,1497825405, 2019/6/18 22:36:45,18.5
205000,1497825406, 2019/6/18 22:36:46,18.5
205999,1497825407, 2019/6/18 22:36:47,18.4
206999,1497825408, 2019/6/18 22:36:48,18.4
207998,1497825409, 2019/6/18 22:36:49,18.4
208999,1497825410, 2019/6/18 22:36:50,18.4
209999,1497825411, 2019/6/18 22:36:51,18.4
211000,1497825412, 2019/6/18 22:36:52,18.4
211998,1497825413, 2019/6/18 22:36:53,18.4
213000,1497825414, 2019/6/18 22:36:54,18.4
213999,1497825415, 2019/6/18 22:36:55,18.4
214999,1497825416, 2019/6/18 22:36:56,18.4
215999,1497825417, 2019/6/18 22:36:57,18.4
216998,1497825418, 2019/6/18 22:36:58,18.4
217999,1497825419, 2019/6/18 22:36:59,18.4
218998,1497825420, 2019/6/18 22:37:0,18.3
219999,1497825421, 2019/6/18 22:37:1,18.3
220999,1497825422, 2019/6/18 22:37:2,18.4
221999,1497825423, 2019/6/18 22:37:3,18.4
222999,1497825424, 2019/6/18 22:37:4,18.4
224000,1497825425, 2019/6/18 22:37:5,18.4
224999,1497825426, 2019/6/18 22:37:6,18.4
225998,1497825427, 2019/6/18 22:37:7,18.3
226999,1497825428, 2019/6/18 22:37:8,18.3
227998,1497825429, 2019/6/18 22:37:9,18.3
228999,1497825430, 2019/6/18 22:37:10,18.3
229998,1497825431, 2019/6/18 22:37:11,18.3
230999,1497825432, 2019/6/18 22:37:12,18.3
231999,1497825433, 2019/6/18 22:37:13,18.3
232998,1497825434, 2019/6/18 22:37:14,18.3
233999,1497825435, 2019/6/18 22:37:15,18.3
234999,1497825436, 2019/6/18 22:37:16,18.3
235999,1497825437, 2019/6/18 22:37:17,18.3
236998,1497825438, 2019/6/18 22:37:18,18.3
237999,1497825439, 2019/6/18 22:37:19,18.3
238999,1497825440, 2019/6/18 22:37:20,18.3
239998,1497825441, 2019/6/18 22:37:21,18.3
240999,1497825442, 2019/6/18 22:37:22,18.3
242000,1497825443, 2019/6/18 22:37:23,18.3
242999,1497825444, 2019/6/18 22:37:24,18.3
244000,1497825445, 2019/6/18 22:37:25,18.3
245000,1497825446, 2019/6/18 22:37:26,18.3
245998,1497825447, 2019/6/18 22:37:27,18.3
246999,1497825448, 2019/6/18 22:37:28,18.3
248000,1497825449, 2019/6/18 22:37:29,18.2
248999,1497825450, 2019/6/18 22:37:30,18.2
250000,1497825451, 2019/6/18 22:37:31,18.2
250999,1497825452, 2019/6/18 22:37:32,18.2
251999,1497825453, 2019/6/18 22:37:33,18.2
252999,1497825454, 2019/6/18 22:37:34,18.2
253999,1497825455, 2019/6/18 22:37:35,18.2
255000,1497825456, 2019/6/18 22:37:36,18.2
