
[2020-07-31 17:09:27.538] Humidity: 52.00 %, Temp: 21.40 Celsius
[2020-07-31 17:09:29.545] Humidity: 51.90 %, Temp: 21.40 Celsius
[2020-07-31 17:09:31.551] Humidity: 51.80 %, Temp: 21.40 Celsius
[2020-07-31 17:09:33.558] Humidity: 51.80 %, Temp: 21.40 Celsius
[2020-07-31 17:09:35.570] Humidity: 51.80 %, Temp: 21.30 Celsius
[2020-07-31 17:09:37.576] Humidity: 51.80 %, Temp: 21.30 Celsius
[2020-07-31 17:09:39.583] Humidity: 51.80 %, Temp: 21.30 Celsius
[2020-07-31 17:09:41.590] Humidity: 51.80 %, Temp: 21.30 Celsius
[2020-07-31 17:09:43.597] Humidity: 52.00 %, Temp: 21.30 Celsius
[2020-07-31 17:09:45.604] Humidity: 52.20 %, Temp: 21.30 Celsius
[2020-07-31 17:09:47.611] Humidity: 52.40 %, Temp: 21.30 Celsius
[2020-07-31 17:09:49.622] Humidity: 52.60 %, Temp: 21.30 Celsius
[2020-07-31 17:09:51.629] Humidity: 52.70 %, Temp: 21.20 Celsius
[2020-07-31 17:09:53.636] Humidity: 53.00 %, Temp: 21.20 Celsius
[2020-07-31 17:09:55.646] Humidity: 53.20 %, Temp: 21.20 Celsius
[2020-07-31 17:09:57.651] Humidity: 53.30 %, Temp: 21.20 Celsius
[2020-07-31 17:09:59.657] Humidity: 53.40 %, Temp: 21.20 Celsius
[2020-07-31 17:10:01.664] Humidity: 53.50 %, Temp: 21.20 Celsius
[2020-07-31 17:10:03.675] Humidity: 53.60 %, Temp: 21.10 Celsius
[2020-07-31 17:10:05.682] Humidity: 53.60 %, Temp: 21.10 Celsius
[2020-07-31 17:10:07.688] Humidity: 53.50 %, Temp: 21.10 Celsius
[2020-07-31 17:10:09.696] Humidity: 53.40 %, Temp: 21.10 Celsius
[2020-07-31 17:10:11.703] Humidity: 53.30 %, Temp: 21.10 Celsius
[2020-07-31 17:10:13.709] Humidity: 53.40 %, Temp: 21.10 Celsius
[2020-07-31 17:10:15.721] Humidity: 53.30 %, Temp: 21.10 Celsius
[2020-07-31 17:10:17.727] Humidity: 53.20 %, Temp: 21.10 Celsius
[2020-07-31 17:10:19.734] Humidity: 53.00 %, Temp: 21.00 Celsius
[2020-07-31 17:10:21.742] Humidity: 52.80 %, Temp: 21.00 Celsius
[2020-07-31 17:10:23.748] Humidity: 52.80 %, Temp: 21.00 Celsius
[2020-07-31 17:10:25.755] Humidity: 52.90 %, Temp: 21.00 Celsius
[2020-07-31 17:10:27.762] Humidity: 52.80 %, Temp: 21.00 Celsius
[2020-07-31 17:10:29.769] Humidity: 52.80 %, Temp: 21.00 Celsius
[2020-07-31 17:10:31.780] Humidity: 52.60 %, Temp: 21.00 Celsius
[2020-07-31 17:10:33.787] Humidity: 52.40 %, Temp: 21.00 Celsius
[2020-07-31 17:10:35.794] Humidity: 52.30 %, Temp: 21.00 Celsius
[2020-07-31 17:10:37.801] Humidity: 52.20 %, Temp: 20.90 Celsius
[2020-07-31 17:10:39.808] Humidity: 52.10 %, Temp: 20.90 Celsius
[2020-07-31 17:10:41.815] Humidity: 52.10 %, Temp: 20.90 Celsius
