rowID,stamp,date,time,hum
999,1497825202,2017/06/18,22:33:22,61.5
1999,1497825203,2017/06/18,22:33:23,61.5
2999,1497825204,2017/06/18,22:33:24,61.5
3999,1497825205,2017/06/18,22:33:25,61.5
4999,1497825206,2017/06/18,22:33:26,61.4
5999,1497825207,2017/06/18,22:33:27,61.4
6999,1497825208,2017/06/18,22:33:28,61.4
8000,1497825209,2017/06/18,22:33:29,61.4
8999,1497825210,2017/06/18,22:33:30,61.4
9999,1497825211,2017/06/18,22:33:31,61.4
10998,1497825212,2017/06/18,22:33:32,61.4
11999,1497825213,2017/06/18,22:33:33,61.4
12999,1497825214,2017/06/18,22:33:34,61.4
14000,1497825215,2017/06/18,22:33:35,61.4
14999,1497825216,2017/06/18,22:33:36,61.4
16000,1497825217,2017/06/18,22:33:37,61.4
16999,1497825218,2017/06/18,22:33:38,61.5
17999,1497825219,2017/06/18,22:33:39,61.5
19000,1497825220,2017/06/18,22:33:40,61.5
19999,1497825221,2017/06/18,22:33:41,61.5
20999,1497825222,2017/06/18,22:33:42,61.6
21999,1497825223,2017/06/18,22:33:43,61.6
23000,1497825224,2017/06/18,22:33:44,61.6
23999,1497825225,2017/06/18,22:33:45,61.6
24998,1497825226,2017/06/18,22:33:46,61.6
25999,1497825227,2017/06/18,22:33:47,61.6
26999,1497825228,2017/06/18,22:33:48,61.8
27999,1497825229,2017/06/18,22:33:49,61.8
28999,1497825230,2017/06/18,22:33:50,61.7
29999,1497825231,2017/06/18,22:33:51,61.7
30999,1497825232,2017/06/18,22:33:52,62.6
32000,1497825233,2017/06/18,22:33:53,62.6
32999,1497825234,2017/06/18,22:33:54,63.5
33999,1497825235,2017/06/18,22:33:55,63.5
35000,1497825236,2017/06/18,22:33:56,63.5
35999,1497825237,2017/06/18,22:33:57,62.9
36999,1497825238,2017/06/18,22:33:58,62.9
37999,1497825239,2017/06/18,22:33:59,62.4
38999,1497825240,2017/06/18,22:34:00,62.4
39999,1497825241,2017/06/18,22:34:01,62.3
41000,1497825242,2017/06/18,22:34:02,62.3
42000,1497825243,2017/06/18,22:34:03,62.3
42999,1497825244,2017/06/18,22:34:04,62.1
43999,1497825245,2017/06/18,22:34:05,62.1
44999,1497825246,2017/06/18,22:34:06,62.0
46000,1497825247,2017/06/18,22:34:07,62.0
46999,1497825248,2017/06/18,22:34:08,62.0
48000,1497825249,2017/06/18,22:34:09,61.9
49000,1497825250,2017/06/18,22:34:10,61.9
49998,1497825251,2017/06/18,22:34:11,61.9
50999,1497825252,2017/06/18,22:34:12,61.9
51999,1497825253,2017/06/18,22:34:13,61.9
52999,1497825254,2017/06/18,22:34:14,61.9
53999,1497825255,2017/06/18,22:34:15,61.9
54999,1497825256,2017/06/18,22:34:16,61.9
56000,1497825257,2017/06/18,22:34:17,62.0
56998,1497825258,2017/06/18,22:34:18,62.0
57999,1497825259,2017/06/18,22:34:19,62.0
58999,1497825260,2017/06/18,22:34:20,61.9
59999,1497825261,2017/06/18,22:34:21,61.9
60999,1497825262,2017/06/18,22:34:22,61.9
61999,1497825263,2017/06/18,22:34:23,61.9
62999,1497825264,2017/06/18,22:34:24,61.9
64000,1497825265,2017/06/18,22:34:25,62.0
64999,1497825266,2017/06/18,22:34:26,62.0
65999,1497825267,2017/06/18,22:34:27,62.0
66999,1497825268,2017/06/18,22:34:28,62.0
67998,1497825269,2017/06/18,22:34:29,62.1
68999,1497825270,2017/06/18,22:34:30,62.1
69998,1497825271,2017/06/18,22:34:31,62.1
70999,1497825272,2017/06/18,22:34:32,62.1
71999,1497825273,2017/06/18,22:34:33,62.1
72998,1497825274,2017/06/18,22:34:34,62.1
73999,1497825275,2017/06/18,22:34:35,62.1
74999,1497825276,2017/06/18,22:34:36,62.1
75999,1497825277,2017/06/18,22:34:37,62.1
76999,1497825278,2017/06/18,22:34:38,62.1
77999,1497825279,2017/06/18,22:34:39,62.1
78999,1497825280,2017/06/18,22:34:40,62.1
80000,1497825281,2017/06/18,22:34:41,62.1
80999,1497825282,2017/06/18,22:34:42,62.1
81998,1497825283,2017/06/18,22:34:43,62.1
82999,1497825284,2017/06/18,22:34:44,62.1
83998,1497825285,2017/06/18,22:34:45,62.1
85000,1497825286,2017/06/18,22:34:46,62.1
85998,1497825287,2017/06/18,22:34:47,62.1
87000,1497825288,2017/06/18,22:34:48,62.1
87999,1497825289,2017/06/18,22:34:49,62.1
88999,1497825290,2017/06/18,22:34:50,62.1
90000,1497825291,2017/06/18,22:34:51,62.1
90999,1497825292,2017/06/18,22:34:52,62.1
92000,1497825293,2017/06/18,22:34:53,62.1
92999,1497825294,2017/06/18,22:34:54,62.2
93999,1497825295,2017/06/18,22:34:55,62.2
94999,1497825296,2017/06/18,22:34:56,62.2
95998,1497825297,2017/06/18,22:34:57,62.2
96999,1497825298,2017/06/18,22:34:58,62.2
97999,1497825299,2017/06/18,22:34:59,62.2
98999,1497825300,2017/06/18,22:35:00,62.2
99999,1497825301,2017/06/18,22:35:01,62.1
100999,1497825302,2017/06/18,22:35:02,62.1
101999,1497825303,2017/06/18,22:35:03,62.2
102999,1497825304,2017/06/18,22:35:04,62.2
104000,1497825305,2017/06/18,22:35:05,62.2
104998,1497825306,2017/06/18,22:35:06,62.2
105999,1497825307,2017/06/18,22:35:07,62.2
106998,1497825308,2017/06/18,22:35:08,62.3
107999,1497825309,2017/06/18,22:35:09,62.3
108999,1497825310,2017/06/18,22:35:10,62.3
109999,1497825311,2017/06/18,22:35:11,62.3
110999,1497825312,2017/06/18,22:35:12,62.4
111998,1497825313,2017/06/18,22:35:13,62.4
112999,1497825314,2017/06/18,22:35:14,62.4
113999,1497825315,2017/06/18,22:35:15,62.4
115000,1497825316,2017/06/18,22:35:16,62.4
115999,1497825317,2017/06/18,22:35:17,62.4
116999,1497825318,2017/06/18,22:35:18,62.4
117999,1497825319,2017/06/18,22:35:19,62.5
119000,1497825320,2017/06/18,22:35:20,62.5
119999,1497825321,2017/06/18,22:35:21,62.5
120998,1497825322,2017/06/18,22:35:22,62.5
122000,1497825323,2017/06/18,22:35:23,62.5
122999,1497825324,2017/06/18,22:35:24,62.4
124000,1497825325,2017/06/18,22:35:25,62.4
124998,1497825326,2017/06/18,22:35:26,62.6
125999,1497825327,2017/06/18,22:35:27,62.6
126999,1497825328,2017/06/18,22:35:28,62.6
127998,1497825329,2017/06/18,22:35:29,62.6
129000,1497825330,2017/06/18,22:35:30,62.7
129999,1497825331,2017/06/18,22:35:31,62.7
131000,1497825332,2017/06/18,22:35:32,62.6
132000,1497825333,2017/06/18,22:35:33,62.6
132999,1497825334,2017/06/18,22:35:34,62.6
133999,1497825335,2017/06/18,22:35:35,62.7
134999,1497825336,2017/06/18,22:35:36,62.7
135999,1497825337,2017/06/18,22:35:37,62.8
136998,1497825338,2017/06/18,22:35:38,62.8
138000,1497825339,2017/06/18,22:35:39,62.8
138999,1497825340,2017/06/18,22:35:40,62.8
139999,1497825341,2017/06/18,22:35:41,62.8
140999,1497825342,2017/06/18,22:35:42,62.8
142000,1497825343,2017/06/18,22:35:43,62.8
142999,1497825344,2017/06/18,22:35:44,62.8
143998,1497825345,2017/06/18,22:35:45,62.8
144999,1497825346,2017/06/18,22:35:46,62.8
145999,1497825347,2017/06/18,22:35:47,62.8
147000,1497825348,2017/06/18,22:35:48,62.9
148000,1497825349,2017/06/18,22:35:49,62.9
148999,1497825350,2017/06/18,22:35:50,62.9
149999,1497825351,2017/06/18,22:35:51,62.9
150999,1497825352,2017/06/18,22:35:52,62.9
152000,1497825353,2017/06/18,22:35:53,62.9
152998,1497825354,2017/06/18,22:35:54,62.9
153999,1497825355,2017/06/18,22:35:55,62.9
154999,1497825356,2017/06/18,22:35:56,62.9
156000,1497825357,2017/06/18,22:35:57,62.9
156998,1497825358,2017/06/18,22:35:58,62.9
158000,1497825359,2017/06/18,22:35:59,63.0
158999,1497825360,2017/06/18,22:36:00,63.0
159998,1497825361,2017/06/18,22:36:01,63.1
160999,1497825362,2017/06/18,22:36:02,63.1
161999,1497825363,2017/06/18,22:36:03,63.1
162999,1497825364,2017/06/18,22:36:04,63.1
163998,1497825365,2017/06/18,22:36:05,63.1
165000,1497825366,2017/06/18,22:36:06,63.2
165999,1497825367,2017/06/18,22:36:07,63.2
166999,1497825368,2017/06/18,22:36:08,63.2
167999,1497825369,2017/06/18,22:36:09,63.2
168999,1497825370,2017/06/18,22:36:10,63.2
169999,1497825371,2017/06/18,22:36:11,63.2
170999,1497825372,2017/06/18,22:36:12,63.2
171999,1497825373,2017/06/18,22:36:13,63.2
172998,1497825374,2017/06/18,22:36:14,63.2
174000,1497825375,2017/06/18,22:36:15,63.2
174999,1497825376,2017/06/18,22:36:16,63.2
175998,1497825377,2017/06/18,22:36:17,63.2
176999,1497825378,2017/06/18,22:36:18,63.2
177999,1497825379,2017/06/18,22:36:19,63.2
179000,1497825380,2017/06/18,22:36:20,63.2
179998,1497825381,2017/06/18,22:36:21,63.2
181000,1497825382,2017/06/18,22:36:22,63.2
181999,1497825383,2017/06/18,22:36:23,63.2
183000,1497825384,2017/06/18,22:36:24,63.2
183999,1497825385,2017/06/18,22:36:25,63.2
184999,1497825386,2017/06/18,22:36:26,63.2
185999,1497825387,2017/06/18,22:36:27,63.2
186998,1497825388,2017/06/18,22:36:28,63.2
188000,1497825389,2017/06/18,22:36:29,63.3
188999,1497825390,2017/06/18,22:36:30,63.3
190000,1497825391,2017/06/18,22:36:31,63.3
190998,1497825392,2017/06/18,22:36:32,63.3
192001,1497825393,2017/06/18,22:36:33,63.3
192999,1497825394,2017/06/18,22:36:34,63.4
193999,1497825395,2017/06/18,22:36:35,63.4
194999,1497825396,2017/06/18,22:36:36,63.4
195999,1497825397,2017/06/18,22:36:37,63.4
196999,1497825398,2017/06/18,22:36:38,63.4
197999,1497825399,2017/06/18,22:36:39,63.3
198999,1497825400,2017/06/18,22:36:40,63.3
199998,1497825401,2017/06/18,22:36:41,63.3
200999,1497825402,2017/06/18,22:36:42,63.4
202000,1497825403,2017/06/18,22:36:43,63.4
202999,1497825404,2017/06/18,22:36:44,63.4
203999,1497825405,2017/06/18,22:36:45,63.5
205000,1497825406,2017/06/18,22:36:46,63.5
205999,1497825407,2017/06/18,22:36:47,63.4
206999,1497825408,2017/06/18,22:36:48,63.4
207998,1497825409,2017/06/18,22:36:49,63.4
208999,1497825410,2017/06/18,22:36:50,63.4
209999,1497825411,2017/06/18,22:36:51,63.5
211000,1497825412,2017/06/18,22:36:52,63.5
211998,1497825413,2017/06/18,22:36:53,63.5
213000,1497825414,2017/06/18,22:36:54,63.5
213999,1497825415,2017/06/18,22:36:55,63.5
214999,1497825416,2017/06/18,22:36:56,63.7
215999,1497825417,2017/06/18,22:36:57,63.7
216998,1497825418,2017/06/18,22:36:58,63.8
217999,1497825419,2017/06/18,22:36:59,63.8
218998,1497825420,2017/06/18,22:37:00,63.7
